Comunidades Autonomas;Naturaleza de la finca;Número e importe;Periodo;Total
Total Nacional;Total fincas;Número de hipotecas;2023M12;32.734
Total Nacional;Total fincas;Número de hipotecas;2023M11;43.009
Total Nacional;Total fincas;Número de hipotecas;2023M10;41.142
Total Nacional;Total fincas;Número de hipotecas;2023M09;39.968
Total Nacional;Total fincas;Número de hipotecas;2023M08;36.320
Total Nacional;Total fincas;Número de hipotecas;2023M07;37.701
Total Nacional;Total fincas;Número de hipotecas;2023M06;43.538
Total Nacional;Total fincas;Número de hipotecas;2023M05;44.297
Total Nacional;Total fincas;Número de hipotecas;2023M04;35.621
Total Nacional;Total fincas;Número de hipotecas;2023M03;47.459
Total Nacional;Total fincas;Número de hipotecas;2023M02;46.934
Total Nacional;Total fincas;Número de hipotecas;2023M01;48.501
Total Nacional;Total fincas;Número de hipotecas;2022M12;39.493
Total Nacional;Total fincas;Número de hipotecas;2022M11;52.716
Total Nacional;Total fincas;Número de hipotecas;2022M10;53.707
Total Nacional;Total fincas;Número de hipotecas;2022M09;56.939
Total Nacional;Total fincas;Número de hipotecas;2022M08;47.974
Total Nacional;Total fincas;Número de hipotecas;2022M07;47.304
Total Nacional;Total fincas;Número de hipotecas;2022M06;56.099
Total Nacional;Total fincas;Número de hipotecas;2022M05;57.074
Total Nacional;Total fincas;Número de hipotecas;2022M04;43.817
Total Nacional;Total fincas;Número de hipotecas;2022M03;57.139
Total Nacional;Total fincas;Número de hipotecas;2022M02;49.183
Total Nacional;Total fincas;Número de hipotecas;2022M01;47.211
Total Nacional;Total fincas;Número de hipotecas;2021M12;43.778
Total Nacional;Total fincas;Número de hipotecas;2021M11;49.369
Total Nacional;Total fincas;Número de hipotecas;2021M10;48.792
Total Nacional;Total fincas;Número de hipotecas;2021M09;55.768
Total Nacional;Total fincas;Número de hipotecas;2021M08;43.257
Total Nacional;Total fincas;Número de hipotecas;2021M07;46.420
Total Nacional;Total fincas;Número de hipotecas;2021M06;50.121
Total Nacional;Total fincas;Número de hipotecas;2021M05;47.769
Total Nacional;Total fincas;Número de hipotecas;2021M04;43.241
Total Nacional;Total fincas;Número de hipotecas;2021M03;49.490
Total Nacional;Total fincas;Número de hipotecas;2021M02;42.850
Total Nacional;Total fincas;Número de hipotecas;2021M01;37.355
Total Nacional;Total fincas;Número de hipotecas;2020M12;36.007
Total Nacional;Total fincas;Número de hipotecas;2020M11;39.501
Total Nacional;Total fincas;Número de hipotecas;2020M10;38.132
Total Nacional;Total fincas;Número de hipotecas;2020M09;38.155
Total Nacional;Total fincas;Número de hipotecas;2020M08;27.682
Total Nacional;Total fincas;Número de hipotecas;2020M07;37.329
Total Nacional;Total fincas;Número de hipotecas;2020M06;37.054
Total Nacional;Total fincas;Número de hipotecas;2020M05;34.877
Total Nacional;Total fincas;Número de hipotecas;2020M04;32.516
Total Nacional;Total fincas;Número de hipotecas;2020M03;36.588
Total Nacional;Total fincas;Número de hipotecas;2020M02;51.818
Total Nacional;Total fincas;Número de hipotecas;2020M01;56.921
Total Nacional;Total fincas;Número de hipotecas;2019M12;44.001
Total Nacional;Total fincas;Número de hipotecas;2019M11;41.947
Total Nacional;Total fincas;Número de hipotecas;2019M10;40.538
Total Nacional;Total fincas;Número de hipotecas;2019M09;31.506
Total Nacional;Total fincas;Número de hipotecas;2019M08;28.805
Total Nacional;Total fincas;Número de hipotecas;2019M07;46.519
Total Nacional;Total fincas;Número de hipotecas;2019M06;41.466
Total Nacional;Total fincas;Número de hipotecas;2019M05;48.772
Total Nacional;Total fincas;Número de hipotecas;2019M04;39.112
Total Nacional;Total fincas;Número de hipotecas;2019M03;42.410
Total Nacional;Total fincas;Número de hipotecas;2019M02;43.061
Total Nacional;Total fincas;Número de hipotecas;2019M01;49.583
Total Nacional;Total fincas;Número de hipotecas;2018M12;29.106
Total Nacional;Total fincas;Número de hipotecas;2018M11;41.545
Total Nacional;Total fincas;Número de hipotecas;2018M10;41.989
Total Nacional;Total fincas;Número de hipotecas;2018M09;44.612
Total Nacional;Total fincas;Número de hipotecas;2018M08;39.847
Total Nacional;Total fincas;Número de hipotecas;2018M07;40.872
Total Nacional;Total fincas;Número de hipotecas;2018M06;42.046
Total Nacional;Total fincas;Número de hipotecas;2018M05;42.829
Total Nacional;Total fincas;Número de hipotecas;2018M04;40.426
Total Nacional;Total fincas;Número de hipotecas;2018M03;36.525
Total Nacional;Total fincas;Número de hipotecas;2018M02;39.829
Total Nacional;Total fincas;Número de hipotecas;2018M01;42.222
Total Nacional;Total fincas;Número de hipotecas;2017M12;28.228
Total Nacional;Total fincas;Número de hipotecas;2017M11;35.127
Total Nacional;Total fincas;Número de hipotecas;2017M10;34.767
Total Nacional;Total fincas;Número de hipotecas;2017M09;40.758
Total Nacional;Total fincas;Número de hipotecas;2017M08;36.292
Total Nacional;Total fincas;Número de hipotecas;2017M07;35.307
Total Nacional;Total fincas;Número de hipotecas;2017M06;40.959
Total Nacional;Total fincas;Número de hipotecas;2017M05;40.156
Total Nacional;Total fincas;Número de hipotecas;2017M04;29.310
Total Nacional;Total fincas;Número de hipotecas;2017M03;38.742
Total Nacional;Total fincas;Número de hipotecas;2017M02;35.376
Total Nacional;Total fincas;Número de hipotecas;2017M01;37.930
Total Nacional;Total fincas;Número de hipotecas;2016M12;29.181
Total Nacional;Total fincas;Número de hipotecas;2016M11;35.302
Total Nacional;Total fincas;Número de hipotecas;2016M10;33.429
Total Nacional;Total fincas;Número de hipotecas;2016M09;37.093
Total Nacional;Total fincas;Número de hipotecas;2016M08;29.597
Total Nacional;Total fincas;Número de hipotecas;2016M07;27.489
Total Nacional;Total fincas;Número de hipotecas;2016M06;35.976
Total Nacional;Total fincas;Número de hipotecas;2016M05;37.542
Total Nacional;Total fincas;Número de hipotecas;2016M04;33.500
Total Nacional;Total fincas;Número de hipotecas;2016M03;32.414
Total Nacional;Total fincas;Número de hipotecas;2016M02;36.113
Total Nacional;Total fincas;Número de hipotecas;2016M01;33.237
Total Nacional;Total fincas;Número de hipotecas;2015M12;28.588
Total Nacional;Total fincas;Número de hipotecas;2015M11;28.503
Total Nacional;Total fincas;Número de hipotecas;2015M10;29.089
Total Nacional;Total fincas;Número de hipotecas;2015M09;36.435
Total Nacional;Total fincas;Número de hipotecas;2015M08;29.574
Total Nacional;Total fincas;Número de hipotecas;2015M07;34.353
Total Nacional;Total fincas;Número de hipotecas;2015M06;32.137
Total Nacional;Total fincas;Número de hipotecas;2015M05;29.791
Total Nacional;Total fincas;Número de hipotecas;2015M04;28.921
Total Nacional;Total fincas;Número de hipotecas;2015M03;29.988
Total Nacional;Total fincas;Número de hipotecas;2015M02;31.619
Total Nacional;Total fincas;Número de hipotecas;2015M01;32.983
Total Nacional;Total fincas;Número de hipotecas;2014M12;23.377
Total Nacional;Total fincas;Número de hipotecas;2014M11;25.183
Total Nacional;Total fincas;Número de hipotecas;2014M10;27.640
Total Nacional;Total fincas;Número de hipotecas;2014M09;30.334
Total Nacional;Total fincas;Número de hipotecas;2014M08;23.856
Total Nacional;Total fincas;Número de hipotecas;2014M07;27.079
Total Nacional;Total fincas;Número de hipotecas;2014M06;26.168
Total Nacional;Total fincas;Número de hipotecas;2014M05;27.690
Total Nacional;Total fincas;Número de hipotecas;2014M04;23.663
Total Nacional;Total fincas;Número de hipotecas;2014M03;26.111
Total Nacional;Total fincas;Número de hipotecas;2014M02;25.763
Total Nacional;Total fincas;Número de hipotecas;2014M01;28.671
Total Nacional;Total fincas;Número de hipotecas;2013M12;20.944
Total Nacional;Total fincas;Número de hipotecas;2013M11;23.178
Total Nacional;Total fincas;Número de hipotecas;2013M10;25.182
Total Nacional;Total fincas;Número de hipotecas;2013M09;23.594
Total Nacional;Total fincas;Número de hipotecas;2013M08;19.649
Total Nacional;Total fincas;Número de hipotecas;2013M07;23.065
Total Nacional;Total fincas;Número de hipotecas;2013M06;23.919
Total Nacional;Total fincas;Número de hipotecas;2013M05;30.648
Total Nacional;Total fincas;Número de hipotecas;2013M04;29.532
Total Nacional;Total fincas;Número de hipotecas;2013M03;27.448
Total Nacional;Total fincas;Número de hipotecas;2013M02;38.119
Total Nacional;Total fincas;Número de hipotecas;2013M01;41.700
Total Nacional;Total fincas;Número de hipotecas;2012M12;28.438
Total Nacional;Total fincas;Número de hipotecas;2012M11;31.559
Total Nacional;Total fincas;Número de hipotecas;2012M10;31.319
Total Nacional;Total fincas;Número de hipotecas;2012M09;36.570
Total Nacional;Total fincas;Número de hipotecas;2012M08;34.572
Total Nacional;Total fincas;Número de hipotecas;2012M07;41.303
Total Nacional;Total fincas;Número de hipotecas;2012M06;40.745
Total Nacional;Total fincas;Número de hipotecas;2012M05;43.694
Total Nacional;Total fincas;Número de hipotecas;2012M04;35.761
Total Nacional;Total fincas;Número de hipotecas;2012M03;42.367
Total Nacional;Total fincas;Número de hipotecas;2012M02;43.616
Total Nacional;Total fincas;Número de hipotecas;2012M01;46.821
Total Nacional;Total fincas;Número de hipotecas;2011M12;38.691
Total Nacional;Total fincas;Número de hipotecas;2011M11;45.581
Total Nacional;Total fincas;Número de hipotecas;2011M10;39.178
Total Nacional;Total fincas;Número de hipotecas;2011M09;51.033
Total Nacional;Total fincas;Número de hipotecas;2011M08;47.620
Total Nacional;Total fincas;Número de hipotecas;2011M07;46.748
Total Nacional;Total fincas;Número de hipotecas;2011M06;52.225
Total Nacional;Total fincas;Número de hipotecas;2011M05;60.341
Total Nacional;Total fincas;Número de hipotecas;2011M04;49.618
Total Nacional;Total fincas;Número de hipotecas;2011M03;68.917
Total Nacional;Total fincas;Número de hipotecas;2011M02;76.398
Total Nacional;Total fincas;Número de hipotecas;2011M01;75.409
Total Nacional;Total fincas;Número de hipotecas;2010M12;64.040
Total Nacional;Total fincas;Número de hipotecas;2010M11;67.086
Total Nacional;Total fincas;Número de hipotecas;2010M10;62.109
Total Nacional;Total fincas;Número de hipotecas;2010M09;83.330
Total Nacional;Total fincas;Número de hipotecas;2010M08;77.256
Total Nacional;Total fincas;Número de hipotecas;2010M07;84.218
Total Nacional;Total fincas;Número de hipotecas;2010M06;89.140
Total Nacional;Total fincas;Número de hipotecas;2010M05;87.882
Total Nacional;Total fincas;Número de hipotecas;2010M04;80.182
Total Nacional;Total fincas;Número de hipotecas;2010M03;87.137
Total Nacional;Total fincas;Número de hipotecas;2010M02;88.523
Total Nacional;Total fincas;Número de hipotecas;2010M01;90.045
Total Nacional;Total fincas;Número de hipotecas;2009M12;80.619
Total Nacional;Total fincas;Número de hipotecas;2009M11;82.913
Total Nacional;Total fincas;Número de hipotecas;2009M10;89.873
Total Nacional;Total fincas;Número de hipotecas;2009M09;104.748
Total Nacional;Total fincas;Número de hipotecas;2009M08;83.912
Total Nacional;Total fincas;Número de hipotecas;2009M07;100.149
Total Nacional;Total fincas;Número de hipotecas;2009M06;100.074
Total Nacional;Total fincas;Número de hipotecas;2009M05;96.102
Total Nacional;Total fincas;Número de hipotecas;2009M04;82.974
Total Nacional;Total fincas;Número de hipotecas;2009M03;88.735
Total Nacional;Total fincas;Número de hipotecas;2009M02;86.946
Total Nacional;Total fincas;Número de hipotecas;2009M01;85.542
Total Nacional;Total fincas;Número de hipotecas;2008M12;83.217
Total Nacional;Total fincas;Número de hipotecas;2008M11;80.535
Total Nacional;Total fincas;Número de hipotecas;2008M10;102.715
Total Nacional;Total fincas;Número de hipotecas;2008M09;103.312
Total Nacional;Total fincas;Número de hipotecas;2008M08;87.840
Total Nacional;Total fincas;Número de hipotecas;2008M07;114.610
Total Nacional;Total fincas;Número de hipotecas;2008M06;105.301
Total Nacional;Total fincas;Número de hipotecas;2008M05;114.028
Total Nacional;Total fincas;Número de hipotecas;2008M04;124.634
Total Nacional;Total fincas;Número de hipotecas;2008M03;104.690
Total Nacional;Total fincas;Número de hipotecas;2008M02;124.191
Total Nacional;Total fincas;Número de hipotecas;2008M01;138.301
Total Nacional;Total fincas;Número de hipotecas;2007M12;103.175
Total Nacional;Total fincas;Número de hipotecas;2007M11;139.891
Total Nacional;Total fincas;Número de hipotecas;2007M10;145.007
Total Nacional;Total fincas;Número de hipotecas;2007M09;145.326
Total Nacional;Total fincas;Número de hipotecas;2007M08;129.961
Total Nacional;Total fincas;Número de hipotecas;2007M07;149.281
Total Nacional;Total fincas;Número de hipotecas;2007M06;155.584
Total Nacional;Total fincas;Número de hipotecas;2007M05;169.905
Total Nacional;Total fincas;Número de hipotecas;2007M04;139.850
Total Nacional;Total fincas;Número de hipotecas;2007M03;168.948
Total Nacional;Total fincas;Número de hipotecas;2007M02;154.087
Total Nacional;Total fincas;Número de hipotecas;2007M01;179.612
Total Nacional;Total fincas;Número de hipotecas;2006M12;122.696
Total Nacional;Total fincas;Número de hipotecas;2006M11;157.466
Total Nacional;Total fincas;Número de hipotecas;2006M10;157.014
Total Nacional;Total fincas;Número de hipotecas;2006M09;161.212
Total Nacional;Total fincas;Número de hipotecas;2006M08;138.205
Total Nacional;Total fincas;Número de hipotecas;2006M07;152.550
Total Nacional;Total fincas;Número de hipotecas;2006M06;172.168
Total Nacional;Total fincas;Número de hipotecas;2006M05;177.649
Total Nacional;Total fincas;Número de hipotecas;2006M04;137.455
Total Nacional;Total fincas;Número de hipotecas;2006M03;182.682
Total Nacional;Total fincas;Número de hipotecas;2006M02;163.741
Total Nacional;Total fincas;Número de hipotecas;2006M01;173.677
Total Nacional;Total fincas;Número de hipotecas;2005M12;136.265
Total Nacional;Total fincas;Número de hipotecas;2005M11;151.218
Total Nacional;Total fincas;Número de hipotecas;2005M10;145.734
Total Nacional;Total fincas;Número de hipotecas;2005M09;184.936
Total Nacional;Total fincas;Número de hipotecas;2005M08;132.577
Total Nacional;Total fincas;Número de hipotecas;2005M07;140.366
Total Nacional;Total fincas;Número de hipotecas;2005M06;162.570
Total Nacional;Total fincas;Número de hipotecas;2005M05;152.622
Total Nacional;Total fincas;Número de hipotecas;2005M04;154.457
Total Nacional;Total fincas;Número de hipotecas;2005M03;140.240
Total Nacional;Total fincas;Número de hipotecas;2005M02;146.627
Total Nacional;Total fincas;Número de hipotecas;2005M01;151.018
Total Nacional;Total fincas;Número de hipotecas;2004M12;120.664
Total Nacional;Total fincas;Número de hipotecas;2004M11;133.264
Total Nacional;Total fincas;Número de hipotecas;2004M10;128.998
Total Nacional;Total fincas;Número de hipotecas;2004M09;141.770
Total Nacional;Total fincas;Número de hipotecas;2004M08;118.370
Total Nacional;Total fincas;Número de hipotecas;2004M07;134.913
Total Nacional;Total fincas;Número de hipotecas;2004M06;144.604
Total Nacional;Total fincas;Número de hipotecas;2004M05;144.539
Total Nacional;Total fincas;Número de hipotecas;2004M04;125.030
Total Nacional;Total fincas;Número de hipotecas;2004M03;144.743
Total Nacional;Total fincas;Número de hipotecas;2004M02;136.554
Total Nacional;Total fincas;Número de hipotecas;2004M01;135.048
Total Nacional;Total fincas;Número de hipotecas;2003M12;104.404
Total Nacional;Total fincas;Número de hipotecas;2003M11;110.775
Total Nacional;Total fincas;Número de hipotecas;2003M10;129.177
Total Nacional;Total fincas;Número de hipotecas;2003M09;118.209
Total Nacional;Total fincas;Número de hipotecas;2003M08;92.580
Total Nacional;Total fincas;Número de hipotecas;2003M07;113.881
Total Nacional;Total fincas;Número de hipotecas;2003M06;113.086
Total Nacional;Total fincas;Número de hipotecas;2003M05;116.615
Total Nacional;Total fincas;Número de hipotecas;2003M04;104.744
Total Nacional;Total fincas;Número de hipotecas;2003M03;116.565
Total Nacional;Total fincas;Número de hipotecas;2003M02;119.166
Total Nacional;Total fincas;Número de hipotecas;2003M01;118.040
Total Nacional;Total fincas;Importe de hipotecas;2023M12;5.284.261
Total Nacional;Total fincas;Importe de hipotecas;2023M11;6.945.265
Total Nacional;Total fincas;Importe de hipotecas;2023M10;6.365.532
Total Nacional;Total fincas;Importe de hipotecas;2023M09;7.192.079
Total Nacional;Total fincas;Importe de hipotecas;2023M08;6.664.641
Total Nacional;Total fincas;Importe de hipotecas;2023M07;6.216.077
Total Nacional;Total fincas;Importe de hipotecas;2023M06;7.310.223
Total Nacional;Total fincas;Importe de hipotecas;2023M05;7.283.775
Total Nacional;Total fincas;Importe de hipotecas;2023M04;5.639.535
Total Nacional;Total fincas;Importe de hipotecas;2023M03;7.787.383
Total Nacional;Total fincas;Importe de hipotecas;2023M02;7.631.567
Total Nacional;Total fincas;Importe de hipotecas;2023M01;8.039.521
Total Nacional;Total fincas;Importe de hipotecas;2022M12;6.169.061
Total Nacional;Total fincas;Importe de hipotecas;2022M11;8.246.253
Total Nacional;Total fincas;Importe de hipotecas;2022M10;8.776.324
Total Nacional;Total fincas;Importe de hipotecas;2022M09;9.418.970
Total Nacional;Total fincas;Importe de hipotecas;2022M08;7.417.966
Total Nacional;Total fincas;Importe de hipotecas;2022M07;7.821.273
Total Nacional;Total fincas;Importe de hipotecas;2022M06;8.699.671
Total Nacional;Total fincas;Importe de hipotecas;2022M05;9.074.139
Total Nacional;Total fincas;Importe de hipotecas;2022M04;7.014.107
Total Nacional;Total fincas;Importe de hipotecas;2022M03;8.796.731
Total Nacional;Total fincas;Importe de hipotecas;2022M02;7.776.219
Total Nacional;Total fincas;Importe de hipotecas;2022M01;7.139.404
Total Nacional;Total fincas;Importe de hipotecas;2021M12;6.872.990
Total Nacional;Total fincas;Importe de hipotecas;2021M11;7.241.693
Total Nacional;Total fincas;Importe de hipotecas;2021M10;7.131.878
Total Nacional;Total fincas;Importe de hipotecas;2021M09;8.223.044
Total Nacional;Total fincas;Importe de hipotecas;2021M08;6.590.965
Total Nacional;Total fincas;Importe de hipotecas;2021M07;6.418.776
Total Nacional;Total fincas;Importe de hipotecas;2021M06;7.293.900
Total Nacional;Total fincas;Importe de hipotecas;2021M05;7.253.755
Total Nacional;Total fincas;Importe de hipotecas;2021M04;6.552.511
Total Nacional;Total fincas;Importe de hipotecas;2021M03;7.415.527
Total Nacional;Total fincas;Importe de hipotecas;2021M02;6.244.817
Total Nacional;Total fincas;Importe de hipotecas;2021M01;5.301.222
Total Nacional;Total fincas;Importe de hipotecas;2020M12;5.189.484
Total Nacional;Total fincas;Importe de hipotecas;2020M11;5.626.350
Total Nacional;Total fincas;Importe de hipotecas;2020M10;5.391.664
Total Nacional;Total fincas;Importe de hipotecas;2020M09;5.269.720
Total Nacional;Total fincas;Importe de hipotecas;2020M08;4.429.453
Total Nacional;Total fincas;Importe de hipotecas;2020M07;6.170.107
Total Nacional;Total fincas;Importe de hipotecas;2020M06;5.592.971
Total Nacional;Total fincas;Importe de hipotecas;2020M05;5.093.788
Total Nacional;Total fincas;Importe de hipotecas;2020M04;4.722.254
Total Nacional;Total fincas;Importe de hipotecas;2020M03;5.920.247
Total Nacional;Total fincas;Importe de hipotecas;2020M02;9.332.810
Total Nacional;Total fincas;Importe de hipotecas;2020M01;7.316.021
Total Nacional;Total fincas;Importe de hipotecas;2019M12;5.888.976
Total Nacional;Total fincas;Importe de hipotecas;2019M11;5.762.838
Total Nacional;Total fincas;Importe de hipotecas;2019M10;6.022.776
Total Nacional;Total fincas;Importe de hipotecas;2019M09;5.601.826
Total Nacional;Total fincas;Importe de hipotecas;2019M08;4.491.175
Total Nacional;Total fincas;Importe de hipotecas;2019M07;6.687.888
Total Nacional;Total fincas;Importe de hipotecas;2019M06;5.895.671
Total Nacional;Total fincas;Importe de hipotecas;2019M05;7.076.666
Total Nacional;Total fincas;Importe de hipotecas;2019M04;5.711.031
Total Nacional;Total fincas;Importe de hipotecas;2019M03;6.197.422
Total Nacional;Total fincas;Importe de hipotecas;2019M02;7.073.339
Total Nacional;Total fincas;Importe de hipotecas;2019M01;7.307.300
Total Nacional;Total fincas;Importe de hipotecas;2018M12;4.910.073
Total Nacional;Total fincas;Importe de hipotecas;2018M11;5.951.838
Total Nacional;Total fincas;Importe de hipotecas;2018M10;5.934.399
Total Nacional;Total fincas;Importe de hipotecas;2018M09;6.669.067
Total Nacional;Total fincas;Importe de hipotecas;2018M08;5.773.122
Total Nacional;Total fincas;Importe de hipotecas;2018M07;5.628.682
Total Nacional;Total fincas;Importe de hipotecas;2018M06;6.456.345
Total Nacional;Total fincas;Importe de hipotecas;2018M05;5.926.147
Total Nacional;Total fincas;Importe de hipotecas;2018M04;5.658.803
Total Nacional;Total fincas;Importe de hipotecas;2018M03;5.004.859
Total Nacional;Total fincas;Importe de hipotecas;2018M02;5.373.333
Total Nacional;Total fincas;Importe de hipotecas;2018M01;6.196.563
Total Nacional;Total fincas;Importe de hipotecas;2017M12;3.899.911
Total Nacional;Total fincas;Importe de hipotecas;2017M11;5.142.129
Total Nacional;Total fincas;Importe de hipotecas;2017M10;5.097.411
Total Nacional;Total fincas;Importe de hipotecas;2017M09;5.697.329
Total Nacional;Total fincas;Importe de hipotecas;2017M08;5.104.735
Total Nacional;Total fincas;Importe de hipotecas;2017M07;4.894.647
Total Nacional;Total fincas;Importe de hipotecas;2017M06;5.430.449
Total Nacional;Total fincas;Importe de hipotecas;2017M05;5.958.630
Total Nacional;Total fincas;Importe de hipotecas;2017M04;4.341.995
Total Nacional;Total fincas;Importe de hipotecas;2017M03;5.204.375
Total Nacional;Total fincas;Importe de hipotecas;2017M02;5.370.987
Total Nacional;Total fincas;Importe de hipotecas;2017M01;5.122.090
Total Nacional;Total fincas;Importe de hipotecas;2016M12;3.816.043
Total Nacional;Total fincas;Importe de hipotecas;2016M11;4.472.289
Total Nacional;Total fincas;Importe de hipotecas;2016M10;3.961.153
Total Nacional;Total fincas;Importe de hipotecas;2016M09;5.160.841
Total Nacional;Total fincas;Importe de hipotecas;2016M08;4.140.313
Total Nacional;Total fincas;Importe de hipotecas;2016M07;4.194.388
Total Nacional;Total fincas;Importe de hipotecas;2016M06;4.676.144
Total Nacional;Total fincas;Importe de hipotecas;2016M05;4.792.314
Total Nacional;Total fincas;Importe de hipotecas;2016M04;4.794.211
Total Nacional;Total fincas;Importe de hipotecas;2016M03;4.174.330
Total Nacional;Total fincas;Importe de hipotecas;2016M02;4.997.926
Total Nacional;Total fincas;Importe de hipotecas;2016M01;4.430.410
Total Nacional;Total fincas;Importe de hipotecas;2015M12;3.571.056
Total Nacional;Total fincas;Importe de hipotecas;2015M11;3.721.274
Total Nacional;Total fincas;Importe de hipotecas;2015M10;4.071.090
Total Nacional;Total fincas;Importe de hipotecas;2015M09;4.970.146
Total Nacional;Total fincas;Importe de hipotecas;2015M08;4.542.194
Total Nacional;Total fincas;Importe de hipotecas;2015M07;4.822.002
Total Nacional;Total fincas;Importe de hipotecas;2015M06;4.132.768
Total Nacional;Total fincas;Importe de hipotecas;2015M05;3.865.881
Total Nacional;Total fincas;Importe de hipotecas;2015M04;3.729.266
Total Nacional;Total fincas;Importe de hipotecas;2015M03;3.808.359
Total Nacional;Total fincas;Importe de hipotecas;2015M02;3.848.317
Total Nacional;Total fincas;Importe de hipotecas;2015M01;3.853.810
Total Nacional;Total fincas;Importe de hipotecas;2014M12;2.901.145
Total Nacional;Total fincas;Importe de hipotecas;2014M11;3.197.791
Total Nacional;Total fincas;Importe de hipotecas;2014M10;3.592.171
Total Nacional;Total fincas;Importe de hipotecas;2014M09;3.861.508
Total Nacional;Total fincas;Importe de hipotecas;2014M08;3.589.215
Total Nacional;Total fincas;Importe de hipotecas;2014M07;3.168.748
Total Nacional;Total fincas;Importe de hipotecas;2014M06;3.180.436
Total Nacional;Total fincas;Importe de hipotecas;2014M05;3.246.385
Total Nacional;Total fincas;Importe de hipotecas;2014M04;3.632.088
Total Nacional;Total fincas;Importe de hipotecas;2014M03;3.516.223
Total Nacional;Total fincas;Importe de hipotecas;2014M02;3.733.514
Total Nacional;Total fincas;Importe de hipotecas;2014M01;3.478.580
Total Nacional;Total fincas;Importe de hipotecas;2013M12;2.283.344
Total Nacional;Total fincas;Importe de hipotecas;2013M11;2.661.153
Total Nacional;Total fincas;Importe de hipotecas;2013M10;3.055.499
Total Nacional;Total fincas;Importe de hipotecas;2013M09;2.718.223
Total Nacional;Total fincas;Importe de hipotecas;2013M08;2.368.164
Total Nacional;Total fincas;Importe de hipotecas;2013M07;2.819.619
Total Nacional;Total fincas;Importe de hipotecas;2013M06;2.817.689
Total Nacional;Total fincas;Importe de hipotecas;2013M05;3.618.366
Total Nacional;Total fincas;Importe de hipotecas;2013M04;3.214.821
Total Nacional;Total fincas;Importe de hipotecas;2013M03;3.082.481
Total Nacional;Total fincas;Importe de hipotecas;2013M02;4.281.574
Total Nacional;Total fincas;Importe de hipotecas;2013M01;4.563.079
Total Nacional;Total fincas;Importe de hipotecas;2012M12;3.104.260
Total Nacional;Total fincas;Importe de hipotecas;2012M11;3.603.129
Total Nacional;Total fincas;Importe de hipotecas;2012M10;3.638.109
Total Nacional;Total fincas;Importe de hipotecas;2012M09;4.012.537
Total Nacional;Total fincas;Importe de hipotecas;2012M08;3.837.489
Total Nacional;Total fincas;Importe de hipotecas;2012M07;4.166.461
Total Nacional;Total fincas;Importe de hipotecas;2012M06;4.958.634
Total Nacional;Total fincas;Importe de hipotecas;2012M05;4.957.003
Total Nacional;Total fincas;Importe de hipotecas;2012M04;4.078.426
Total Nacional;Total fincas;Importe de hipotecas;2012M03;4.739.675
Total Nacional;Total fincas;Importe de hipotecas;2012M02;4.918.336
Total Nacional;Total fincas;Importe de hipotecas;2012M01;5.729.647
Total Nacional;Total fincas;Importe de hipotecas;2011M12;4.314.070
Total Nacional;Total fincas;Importe de hipotecas;2011M11;5.513.428
Total Nacional;Total fincas;Importe de hipotecas;2011M10;4.536.314
Total Nacional;Total fincas;Importe de hipotecas;2011M09;6.074.038
Total Nacional;Total fincas;Importe de hipotecas;2011M08;5.769.112
Total Nacional;Total fincas;Importe de hipotecas;2011M07;5.749.198
Total Nacional;Total fincas;Importe de hipotecas;2011M06;6.331.580
Total Nacional;Total fincas;Importe de hipotecas;2011M05;7.305.065
Total Nacional;Total fincas;Importe de hipotecas;2011M04;5.632.815
Total Nacional;Total fincas;Importe de hipotecas;2011M03;8.110.553
Total Nacional;Total fincas;Importe de hipotecas;2011M02;9.789.485
Total Nacional;Total fincas;Importe de hipotecas;2011M01;8.832.047
Total Nacional;Total fincas;Importe de hipotecas;2010M12;6.965.007
Total Nacional;Total fincas;Importe de hipotecas;2010M11;8.246.563
Total Nacional;Total fincas;Importe de hipotecas;2010M10;7.576.111
Total Nacional;Total fincas;Importe de hipotecas;2010M09;11.144.495
Total Nacional;Total fincas;Importe de hipotecas;2010M08;9.700.390
Total Nacional;Total fincas;Importe de hipotecas;2010M07;11.243.255
Total Nacional;Total fincas;Importe de hipotecas;2010M06;10.716.904
Total Nacional;Total fincas;Importe de hipotecas;2010M05;11.146.609
Total Nacional;Total fincas;Importe de hipotecas;2010M04;10.345.960
Total Nacional;Total fincas;Importe de hipotecas;2010M03;12.264.760
Total Nacional;Total fincas;Importe de hipotecas;2010M02;11.986.968
Total Nacional;Total fincas;Importe de hipotecas;2010M01;11.153.441
Total Nacional;Total fincas;Importe de hipotecas;2009M12;10.229.292
Total Nacional;Total fincas;Importe de hipotecas;2009M11;11.311.804
Total Nacional;Total fincas;Importe de hipotecas;2009M10;11.352.153
Total Nacional;Total fincas;Importe de hipotecas;2009M09;13.589.613
Total Nacional;Total fincas;Importe de hipotecas;2009M08;11.409.576
Total Nacional;Total fincas;Importe de hipotecas;2009M07;13.443.429
Total Nacional;Total fincas;Importe de hipotecas;2009M06;14.106.415
Total Nacional;Total fincas;Importe de hipotecas;2009M05;13.014.587
Total Nacional;Total fincas;Importe de hipotecas;2009M04;12.040.889
Total Nacional;Total fincas;Importe de hipotecas;2009M03;12.678.472
Total Nacional;Total fincas;Importe de hipotecas;2009M02;13.084.905
Total Nacional;Total fincas;Importe de hipotecas;2009M01;13.029.359
